Price,Miles,Trim,Year,Vin
254975,6227,Performance,2018,SBM14DCA8JW001326
269800,2782,Performance,2018,SBM14DCA3JW002206
329996,4709,Performance,2020,SBM14FCA4LW004254
259910,2062,Performance,2018,SBM14DCA4JW002067
259996,14239,Performance,2019,SBM14DCA0KW002388
329996,8921,Performance,2020,SBM14FCA8LW005195
330995,6235,Performance,2018,SBM14DCA9JW000671
269777,7298,Performance,2018,SBM14DCA5JW001283
339995,4247,Performance,2020,SBM14FCA4LW005453
274900,5027,Performance,2019,SBM14DCA2KW002439
279996,10787,Performance,2018,SBM14DCA1JW001183
339875,4763,Performance,2020,SBM14FCA3LW004522
264888,5875,Performance,2018,SBM14DCA1JW000339
264996,4997,Performance,2018,SBM14DCA6JW001454
264996,11996,Performance,2018,SBM14DCAXJW000193
309996,2600,Performance,2020,SBM14DCA0LW005325
382970,743,Performance,2020,SBM14FCA2LW004222
209996,36463,Performance,2018,SBM14DCA4JW001730
339996,3892,Performance,2020,SBM14FCA0LW004574
279900,4508,Performance,2019,SBM14DCA6KW002590
279900,4757,Performance,2019,SBM14DCAXKW003564
349900,2515,Performance,2020,SBM14FCA1LW004518
329990,7173,Performance,2020,SBM14FCAXLW004713
249998,31569,Luxury,2019,SBM14DCA2KW002490
254900,5165,Luxury,2018,SBM14DCA2JW000351
272000,11254,Luxury,2019,SBM14DCA6KW002749
279900,1650,Luxury,2019,SBM14DCA4KW002488
259988,6975,Luxury,2018,SBM14DCA9JW000573
259888,6510,Luxury,2019,SBM14DCA4KW002698
259995,4633,Luxury,2018,SBM14DCA8JW001438
314888,8414,Luxury,2019,SBM14FCA4KW003510
334995,1464,Unspecified,2020,SBM14FCA5LW005476
248777,7663,Unspecified,2018,SBM14DCAXJW002235
239777,8080,Unspecified,2018,SBM14DCA2JW000169
329888,2480,Unspecified,2020,SBM14FCA7LW004362
254991,6259,Unspecified,2018,SBM14DCA7JW000314
339950,1549,Unspecified,2020,SBM14FCA2LW004043
327777,2084,Unspecified,2020,SBM14FCA6LW003994
279888,6836,Unspecified,2019,SBM14DCA9KW002468
239991,9540,Unspecified,2018,SBM14DCA9JW000170
279995,1997,Unspecified,2018,SBM14DCA4JW002134
349000,1602,Unspecified,2020,SBM14FCA4LW004285
338991,680,Unspecified,2020,SBM14FCA2LW004219
329996,2683,Unspecified,2020,SBM14DCA6LW005586
339991,6087,Unspecified,2020,SBM14FCA7LW003860
349000,1237,Unspecified,2020,SBM14FCA3LW004455
346728,1149,Unspecified,2020,SBM14FCA4LW004058
269900,7037,Unspecified,2019,SBM14DCA2KW002974
294668,1324,Unspecified,2018,SBM14DCA5JW002367
269990,5749,Unspecified,2018,SBM14DCA3JW000780
280000,2430,Unspecified,2019,SBM14DCA2KW003414
259900,5749,Unspecified,2018,SBM14DCA6JW002216
319999,1647,Unspecified,2020,SBM14FCAXLW005313
319000,2491,Unspecified,2019,SBM14FCA8KW003736
259995,4506,Unspecified,2019,SBM14DCA8KW003420
